ref,cat1_m2,cat2_m2,cat3_m2,building_cost,expert_f,raw_f
24-519656,81,0,0,113400,0.700,0.577
24-520212,0,1020,0,786000,0.700,0.527
24-520243,795,355,0,1224500,0.700,0.464
24-522020,685,128,0,1121700,0.700,0.626
24-522078,460,925,0,1347970,0.700,0.547
24-522131,253,0,0,379260,0.700,0.638
24-522155,0,1438,0,813332,0.700,0.254
24-522405,2322,0,0,1648620,0.700,0.152
24-522424,320,0,0,256000,0.700,0.208
24-522511,0,770,0,554400,0.700,0.460
24-522845,368,140,0,623600,0.700,0.570
24-522918,948,0,0,1090200,0.700,0.423
24-522920,0,468,0,336960,0.700,0.460
24-523272,0,285,0,230850,0.700,0.580
24-523420,0,1055,0,816005,0.700,0.531
24-523426,0,1071,0,882232,0.700,0.598
24-523430,28,0,0,21000,0.700,0.177
24-523459,0,4059,0,532450,0.700,-0.325
24-523460,0,1388,0,219400,0.700,-0.289
24-523597,0,415,0,278000,0.700,0.393
24-523658,50,0,0,80000,0.700,0.700
24-524476,1233,0,0,1025856,0.700,0.227
24-524539,444,657,39,1302650,0.700,0.685
24-524607,120,0,0,108000,0.700,0.269
25-525533,0,210,0,159000,0.700,0.510
25-525672,0,1052,0,906792,0.700,0.649
25-526531,0,326,0,293400,0.700,0.700
25-526540,178,658,0,797500,0.700,0.598
25-526559,50,362,0,405698,0.700,0.700
25-526646,0,260,230,340500,0.700,0.673
25-526954,200,466,0,616450,0.700,0.518
25-527012,325,235,0,665000,0.700,0.606
25-527019,28,80,0,70200,0.700,0.258
25-527234,1184,155,0,1958700,0.700,0.663
25-527242,220,405,8,560300,0.700,0.459
25-527696,578,1387,0,2107117,0.700,0.667
25-527999,98,0,0,127400,0.700,0.515
25-528004,1534,932,0,3217550,0.700,0.676
25-528006,52,159,0,108245,0.700,0.121
25-528014,80,590,0,450500,0.700,0.336
25-528154,0,584,0,408800,0.700,0.433
25-528199,0,840,0,668500,0.700,0.561
25-528245,252,451,0,798500,0.700,0.686
25-528606,260,1215,0,1138562,0.700,0.422
25-528679,406,200,25,842050,0.700,0.700
25-529370,0,1315,0,1081000,0.700,0.596
25-529539,0,340,0,167960,0.700,0.159
25-529882,377,181,0,711890,0.700,0.628
25-530053,1050,730,0,1650000,0.700,0.395
25-530054,0,1109,0,978175,0.700,0.676
25-530072,0,111,45,120150,0.700,0.679
25-530258,0,41,0,36990,0.700,0.700
25-530783,56,0,0,89600,0.700,0.700
25-530959,0,109,0,78698,0.700,0.463
25-531244,0,795,22,655830,0.700,0.584
25-531373,205,1557,18,1438044,0.700,0.501
25-531381,181,242,0,461850,0.700,0.604
25-531517,0,2090,0,1567500,0.700,0.500
25-531719,84,84,0,142800,0.700,0.363
25-531851,429,0,0,514800,0.700,0.454
25-531852,0,1438,0,1078298,0.700,0.500
25-531989,600,0,0,720000,0.700,0.454
25-532012,480,870,0,1518750,0.700,0.677
25-532058,0,235,0,198300,0.700,0.625
25-532143,105,895,0,498250,0.700,0.135
25-532176,204,497,0,559150,0.700,0.395
25-532187,55,614,0,553500,0.700,0.542
25-532376,460,249,0,716790,0.700,0.440
25-532475,273,219,0,547800,0.700,0.558
25-533231,0,833,0,585075,0.700,0.436
25-534467,0,26,0,23400,0.700,0.700
25-534963,1219,1139,0,2713275,0.700,0.608
25-535099,0,475,0,285000,0.700,0.300
25-535416,637,378,0,1308800,0.700,0.662
25-535755,87,205,0,307300,0.700,0.644
25-536467,0,3040,0,2325600,0.700,0.520
25-536626,85,59,59,116205,0.700,0.217
25-536851,0,385,0,98250,0.700,-0.160
25-537036,648,0,0,782400,0.700,0.458
25-537224,165,20,0,249000,0.700,0.583
25-537357,1190,350,0,1798750,0.700,0.509
25-537451,384,1004,0,1333720,0.700,0.566
25-537622,108,569,0,543329,0.700,0.465
25-538074,0,1000,0,650000,0.700,0.367
25-538085,3594,2036,0,5945000,0.700,0.478
25-538160,246,80,0,219870,0.700,0.166
25-539143,234,500,0,631858,0.700,0.445
25-539323,0,168,0,73080,0.700,0.080
25-540113,0,1282,0,980730,0.700,0.520
25-540248,0,289,0,209525,0.700,0.467
25-540928,200,0,0,300000,0.700,0.638
25-541352,265,6126,0,3410700,0.700,0.197
25-541397,130,1176,0,1143600,0.700,0.588
25-541400,0,1002,0,735750,0.700,0.479
25-541413,75,1440,0,1109250,0.700,0.445
25-541612,0,2078,0,1667630,0.700,0.570
25-541613,0,957,0,724980,0.700,0.510
25-542231,0,346,0,281125,0.700,0.583
25-542234,0,343,0,292575,0.700,0.637
25-542317,217,315,0,558810,0.700,0.578
25-542424,0,308,0,180150,0.700,0.280
25-542426,0,2041,0,1252950,0.700,0.319
25-542993,205,2110,0,1111150,0.700,0.118
25-542998,1569,1255,0,2681050,0.700,0.425
25-543003,1171,0,14,1416820,0.700,0.457
25-543701,210,1154,0,1248800,0.700,0.596
25-544342,139,0,0,168700,0.700,0.462
25-544351,0,390,0,312000,0.700,0.567
25-544390,20,115,0,126600,0.700,0.625
25-544449,0,1180,0,645420,0.700,0.229
25-544697,573,0,12,888882,0.700,0.663
25-544822,143,1007,0,874350,0.700,0.436
25-544824,176,0,0,220000,0.700,0.485
25-545505,0,317,0,285300,0.700,0.700
25-545510,0,223,0,192815,0.700,0.653
25-545518,252,158,0,512575,0.700,0.638
25-545524,0,583,0,325450,0.700,0.245
25-546561,0,858,0,205920,0.700,-0.180
25-546630,129,544,0,604065,0.700,0.551
25-546631,100,582,0,341706,0.700,0.129
25-547134,0,140,0,101950,0.700,0.471
25-547145,1738,0,0,1358900,0.700,0.197
25-547386,411,95,25,494744,0.700,0.353
25-547491,0,2243,0,1346029,0.700,0.300
25-547499,0,427,0,104188,0.700,-0.175
26-547784,400,2483,0,2389200,0.700,0.507
26-547810,0,426,0,283940,0.700,0.389
26-550183,1120,0,0,1375360,0.700,0.471
26-550240,110,1459,0,1340200,0.700,0.583
26-550244,2050,400,0,2840900,0.700,0.480
26-550453,0,2100,0,1300600,0.700,0.326
26-550899,218,310,0,567394,0.700,0.597
26-550960,432,90,0,694800,0.700,0.599
26-552026,0,480,0,216000,0.700,0.100
26-553087,1457,662,0,2803450,0.700,0.657
26-553088,84,5364,31,4426875,0.700,0.568
26-553318,0,974,0,708199,0.700,0.469
25-527862,0,850,0,766500,0.702,0.702
25-538695,0,277,0,252216,0.713,0.713
25-539090,196,120,0,432400,0.726,0.726
25-532312,0,215,83,240677,0.727,0.727
25-543897,60,1132,0,1142304,0.729,0.729
24-524541,240,0,60,427200,0.731,0.731
25-528977,536,120,0,998400,0.734,0.734
24-522510,276,222,0,671700,0.749,0.749
25-545137,0,1584,0,1486260,0.751,0.751
24-524316,0,50,0,47500,0.767,0.767
25-535171,0,180,0,171000,0.767,0.767
25-536042,0,92,0,87400,0.767,0.767
25-533749,0,565,0,539000,0.772,0.772
25-528969,250,0,21,440753,0.773,0.773
25-525546,96,272,25,438514,0.774,0.774
25-544494,1043,0,0,1796046,0.775,0.775
25-530650,251,50,0,484150,0.784,0.784
25-526510,176,459,0,748000,0.785,0.785
25-527702,224,0,0,390880,0.789,0.789
25-533760,83,147,0,287400,0.791,0.791
25-532444,0,384,0,372300,0.793,0.793
25-537841,1365,207,62,2643400,0.801,0.801
25-529765,133,4158,195,4399050,0.801,0.801
25-532377,235,209,0,621650,0.807,0.807
25-535978,430,651,0,1404650,0.810,0.810
25-535981,150,275,0,537500,0.811,0.811
25-537176,424,0,0,759384,0.818,0.818
25-528677,295,213,22,751250,0.818,0.818
25-542043,165,0,0,297000,0.823,0.823
26-547596,151,0,0,271800,0.823,0.823
25-535175,232,836,0,1247244,0.823,0.823
25-528988,1228,0,70,2255782,0.826,0.826
25-543008,251,91,0,546250,0.832,0.832
25-532411,451,127,0,945145,0.832,0.832
25-537342,0,533,0,532500,0.832,0.832
25-528682,0,933,39,954900,0.833,0.833
25-545653,0,720,0,720000,0.833,0.833
24-523871,1257,212,0,2496270,0.834,0.834
24-521426,1280,306,0,2632700,0.834,0.834
25-545514,1665,0,42,3052680,0.835,0.835
24-523720,2615,1170,380,6146000,0.835,0.835
26-550866,301,341,0,888668,0.836,0.836
25-540177,240,1036,0,1475795,0.836,0.836
24-524543,246,0,0,448950,0.838,0.838
25-545569,183,817,28,1171653,0.840,0.840
25-533084,1017,1107,108,3036600,0.842,0.842
25-538051,277,148,0,656500,0.843,0.843
25-537921,329,872,0,1486000,0.847,0.847
25-537106,0,921,0,931300,0.848,0.848
25-536468,1535,1112,1193,4663850,0.856,0.856
25-542654,237,234,9,683650,0.858,0.858
25-535666,350,120,0,773000,0.859,0.859
25-527155,169,142,0,460300,0.863,0.863
25-528542,395,0,0,737500,0.864,0.864
26-548897,364,64,0,752036,0.875,0.875
25-537848,0,366,0,377800,0.876,0.876
25-534884,478,128,55,1067200,0.877,0.877
26-547660,403,706,0,1490593,0.878,0.878
25-528680,224,417,0,854100,0.878,0.878
25-529774,95,713,0,916811,0.878,0.878
25-535895,256,64,0,550400,0.879,0.879
24-523691,679,449,127,1828050,0.882,0.882
26-550656,0,810,0,844020,0.889,0.889
26-552233,245,110,0,582250,0.890,0.890
25-535669,0,347,60,398000,0.892,0.892
24-522534,1330,0,159,2642000,0.894,0.894
25-527232,658,293,0,1568824,0.896,0.896
26-550651,812,35,40,1618910,0.896,0.896
24-524438,561,434,123,1605310,0.897,0.897
25-526562,240,458,44,967900,0.898,0.898
25-541582,481,211,0,1145506,0.899,0.899
25-537854,240,458,44,968340,0.899,0.899
26-550572,0,125,0,131250,0.900,0.900
25-535538,656,160,0,1434150,0.903,0.903
26-548229,0,104,14,118000,0.905,0.905
25-527642,612,270,0,1467529,0.905,0.905
24-522273,287,72,0,636500,0.916,0.916
24-523657,235,230,0,703000,0.916,0.916
24-521084,260,55,0,569500,0.924,0.924
25-527860,480,0,30,966200,0.930,0.930
24-522052,418,207,26,1064190,0.931,0.931
25-525116,381,568,46,1397864,0.938,0.938
25-528156,219,112,0,558444,0.943,0.943
25-529439,257,0,24,527886,0.944,0.944
25-539611,255,0,0,510000,0.946,0.946
26-550452,336,0,0,672000,0.946,0.946
25-532087,778,710,98,2389400,0.947,0.947
24-522787,100,0,8,205200,0.947,0.947
25-525673,251,68,52,609150,0.948,0.948
25-531961,159,18,0,338030,0.949,0.949
25-537326,210,420,0,878250,0.950,0.950
25-527596,558,758,20,1959700,0.952,0.952
25-545328,375,90,0,851925,0.953,0.953
25-535097,120,0,20,254000,0.954,0.954
25-529772,462,0,30,956000,0.964,0.964
24-522508,20,1977,0,2213050,0.965,0.965
25-533575,546,382,5,1531938,0.966,0.966
25-535457,2363,1183,136,6187831,0.966,0.966
25-538596,908,230,0,2099000,0.967,0.967
25-542232,0,286,0,314600,0.967,0.967
25-546609,0,55,0,60500,0.967,0.967
25-531836,130,197,0,481050,0.967,0.967
26-547734,161,0,0,326925,0.969,0.969
25-546499,190,775,0,1241695,0.970,0.970
25-543002,204,204,80,692260,0.971,0.971
24-524260,106,200,0,437081,0.974,0.974
24-523201,923,646,173,2712940,0.974,0.974
25-530790,980,221,105,2317750,0.975,0.975
25-537361,844,385,0,2167100,0.983,0.983
25-546559,337,25,0,723820,0.986,0.986
25-542044,497,0,0,1025700,0.987,0.987
25-532255,354,357,7,1135150,0.988,0.988
25-539163,110,252,21,522950,0.990,0.990
24-522319,152,20,0,338200,0.994,0.994
25-546277,261,258,0,830450,0.994,0.994
25-542994,445,400,0,1374500,0.996,0.996
25-542022,0,252,0,283770,1.000,1.000
25-542026,0,251,0,282150,1.000,1.000
25-545386,345,44,0,772815,1.005,1.005
25-543903,160,140,0,494000,1.007,1.007
26-547598,578,0,0,1213800,1.008,1.008
25-537920,330,100,0,807000,1.009,1.009
25-547281,805,40,40,1773051,1.016,1.016
25-545255,788,55,31,1749100,1.017,1.017
24-524484,2444,3578,708,9705720,1.017,1.017
25-526210,500,70,0,1138000,1.018,1.018
25-536305,147,387,32,775410,1.024,1.024
25-529510,199,153,0,597400,1.025,1.025
25-538679,0,360,0,412200,1.027,1.027
25-542028,0,273,0,312493,1.027,1.027
25-538748,143,109,8,435805,1.030,1.030
25-545254,408,118,51,1043950,1.034,1.034
24-522921,324,949,342,2015225,1.035,1.035
25-528001,214,217,0,709000,1.036,1.036
25-537922,245,80,0,618697,1.038,1.038
25-539157,284,209,0,851750,1.038,1.038
25-536084,730,0,30,1590500,1.039,1.039
25-547432,227,652,0,1244727,1.043,1.043
25-545502,341,0,0,735670,1.043,1.043
26-552748,354,190,0,983924,1.043,1.043
25-529947,0,367,0,425000,1.044,1.044
25-545493,0,574,0,665910,1.047,1.047
25-535188,290,135,47,819345,1.053,1.053
25-545565,174,114,0,512400,1.057,1.057
25-531755,300,340,35,1079600,1.063,1.063
25-544799,0,230,0,270100,1.066,1.066
25-534955,614,1434,847,3611320,1.066,1.066
25-542319,0,132,0,155200,1.068,1.068
25-539008,1553,845,516,4761309,1.068,1.068
25-541165,100,0,0,220000,1.069,1.069
25-542919,373,118,0,958645,1.069,1.069
25-545388,229,74,21,606953,1.072,1.072
26-547602,311,407,0,1165836,1.072,1.072
25-535859,89,345,34,627550,1.075,1.075
25-528289,331,82,0,837700,1.093,1.093
24-522430,270,7,15,625800,1.099,1.099
25-531922,0,95,0,114000,1.100,1.100
26-550645,319,209,0,971944,1.104,1.104
25-537476,520,350,0,1594600,1.104,1.104
25-526560,0,293,0,354200,1.109,1.109
25-543665,698,0,0,1582900,1.111,1.111
25-532086,511,19,45,1214174,1.112,1.112
25-544814,140,1169,0,1734300,1.115,1.115
25-537939,60,5,0,142750,1.117,1.117
25-544992,249,881,191,1778395,1.124,1.124
25-532732,343,297,0,1146550,1.124,1.124
25-533859,180,47,0,469800,1.125,1.125
25-528291,334,31,0,803576,1.125,1.125
25-531718,377,302,52,1269400,1.126,1.126
25-531984,301,154,93,944640,1.127,1.127
26-553021,0,77,132,188450,1.129,1.129
25-530173,576,30,0,1370200,1.140,1.140
25-534038,482,102,0,1241900,1.141,1.141
25-546187,525,180,0,1445500,1.149,1.149
25-535170,0,90,22,127800,1.156,1.156
25-534034,177,55,0,485400,1.164,1.164
25-542078,482,564,0,1839979,1.166,1.166
26-550811,20,18,0,69680,1.167,1.167
25-543006,340,198,0,1050800,1.169,1.169
24-524046,419,346,0,1424950,1.171,1.171
26-548969,1413,0,181,3476838,1.171,1.171
25-534967,176,395,0,914287,1.178,1.178
25-530820,258,52,0,680554,1.182,1.182
25-545576,385,120,0,1069330,1.183,1.183
26-550380,974,90,140,2548000,1.187,1.187
25-534064,412,0,10,994000,1.189,1.189
25-545571,248,143,0,777500,1.194,1.194
26-547736,988,0,0,2375178,1.195,1.195
26-548923,697,526,0,2348966,1.199,1.199
25-538598,562,218,0,1634400,1.201,1.201
25-530052,0,117,65,198250,1.203,1.203
25-529880,154,326,0,794608,1.213,1.213
25-538709,212,110,0,661954,1.226,1.226
25-528428,454,53,0,1194355,1.241,1.241
26-552784,279,15,0,711750,1.242,1.242
25-542072,90,173,0,449415,1.242,1.242
25-546902,344,0,0,854080,1.243,1.243
25-525991,266,212,0,938400,1.245,1.245
24-522783,310,60,0,851900,1.250,1.250
25-545714,249,354,29,1110650,1.254,1.254
25-536464,253,77,33,762300,1.260,1.260
25-546633,555,20,38,1449200,1.260,1.260
25-540246,149,81,266,694158,1.274,1.274
25-546510,210,32,0,574400,1.274,1.274
25-532254,339,65,73,1006250,1.280,1.280
24-524548,226,246,0,907700,1.288,1.288
24-523513,223,0,0,570800,1.291,1.291
25-540338,192,25,0,526880,1.296,1.296
25-542213,455,183,45,1451750,1.297,1.297
25-546378,227,334,0,1032976,1.299,1.299
25-532096,363,72,22,1051900,1.304,1.304
25-535159,240,390,0,1147500,1.304,1.304
25-529538,250,60,0,727000,1.305,1.305
25-538035,1088,212,60,3146680,1.306,1.306
24-524570,197,0,0,512200,1.315,1.315
25-541431,440,118,0,1306350,1.319,1.319
26-550379,1509,36,173,4129798,1.322,1.322
25-541523,417,27,0,1128300,1.326,1.326
25-529067,532,534,70,2192652,1.336,1.336
25-540023,106,80,0,389112,1.339,1.339
25-525568,190,0,0,503500,1.346,1.346
25-530046,36,33,0,141600,1.352,1.352
25-539091,387,60,14,1124460,1.352,1.352
25-525940,0,1353,0,1902850,1.375,1.375
25-538599,444,343,0,1680900,1.376,1.376
25-545516,1040,320,80,3326440,1.377,1.377
25-540739,144,335,59,911175,1.380,1.380
25-532714,90,234,63,626150,1.380,1.380
25-531273,1407,0,0,3829470,1.390,1.390
25-546274,82,42,7,290376,1.399,1.399
25-527699,305,381,0,1390000,1.416,1.416
25-536473,178,629,0,1400200,1.422,1.422
25-536475,0,435,0,627500,1.423,1.423
25-540111,366,82,20,1151500,1.424,1.424
26-552178,653,198,0,2101450,1.426,1.426
24-524654,522,33,0,1500025,1.428,1.428
24-522538,10332,5876,956,38142000,1.431,1.431
25-536470,170,103,0,626250,1.440,1.440
24-523588,435,55,0,1310200,1.455,1.455
25-539131,283,143,0,1013095,1.464,1.464
25-526903,218,129,0,813850,1.474,1.474
25-527644,183,390,0,1100250,1.474,1.474
25-528157,204,477,35,1326875,1.483,1.483
24-522268,529,765,0,4632200,1.500,2.861
24-523269,1365,450,71,4871050,1.500,1.567
24-523348,272,11,0,863600,1.500,1.629
24-524478,119,24,0,547222,1.500,2.283
24-524726,512,1329,0,3906748,1.500,1.735
25-526513,396,933,0,2857000,1.500,1.730
25-527244,86,134,0,453200,1.500,1.512
25-527519,389,395,150,2217000,1.500,1.860
25-527698,297,12,0,891325,1.500,1.527
25-528000,342,318,0,1958100,1.500,2.116
25-528005,184,46,18,944463,1.500,2.458
25-528171,216,122,124,1506550,1.500,2.661
25-528962,346,1761,0,3801350,1.500,1.583
25-530172,0,287,0,430500,1.500,1.500
25-530964,77,421,0,1495800,1.500,2.954
25-531668,0,275,0,415700,1.500,1.516
25-532705,1063,277,11,4124740,1.500,1.818
25-533279,332,369,15,1553700,1.500,1.530
25-534011,78,53,0,345840,1.500,1.741
25-535131,135,75,13,671925,1.500,2.052
25-535156,334,80,0,1141000,1.500,1.587
25-535163,0,179,0,401625,1.500,2.500
25-535164,0,614,0,1441568,1.500,2.633
25-535189,277,78,0,1175500,1.500,2.002
25-535524,0,242,0,404210,1.500,1.728
25-536542,0,992,508,1948900,1.500,1.504
25-537699,0,15,18,42300,1.500,1.678
25-538215,132,0,18,426750,1.500,1.624
25-539298,0,302,0,764675,1.500,2.873
25-539325,405,235,0,1818500,1.500,1.849
25-540041,629,1446,0,4352600,1.500,1.671
25-540087,241,10,0,853000,1.500,1.849
25-542224,329,54,12,1067675,1.500,1.537
25-542427,220,75,0,781300,1.500,1.574
25-542653,0,545,45,1556245,1.500,3.119
25-542808,0,206,0,751900,1.500,4.367
25-544323,294,0,129,1095600,1.500,1.734
25-544684,284,90,15,1085050,1.500,1.711
25-544823,90,0,0,304675,1.500,1.801
25-545253,262,1187,200,2750600,1.500,1.521
25-545313,74,352,76,1599848,1.500,3.370
25-545427,95,217,0,639450,1.500,1.621
25-545697,0,329,0,803100,1.500,2.756
25-545742,242,303,138,1286700,1.500,1.509
25-546185,105,60,0,396000,1.500,1.507
25-546333,0,288,0,574848,1.500,2.161
25-546442,302,471,0,1613647,1.500,1.538
25-546636,363,202,33,1569800,1.500,1.743
25-547049,273,84,0,934635,1.500,1.535
26-549907,0,145,0,357860,1.500,2.791
26-552710,519,763,147,2986306,1.500,1.637
