ref,cat,desc,opp,waarde,eur_per_m2
24-517193,other,"Berekening Loods 1 Loods",840,462000,550
24-517193,other,"Open gedeelte",420,63000,150
24-517193,other,"Loods 2 Loods",630,315000,500
24-517193,other,"Loods 3 Open loods",700,280000,400
24-517193,other,"Loods 4 Loods",672,436800,650
24-519656,other,"Berekening Loods Hangaar",1025,656000,640
24-519656,other,"geschakelde hangaars, silo's",1690,1081600,640
24-519656,other,"hangaars, silo's schuur",240,228000,950
24-519656,other,"schuur",950,190000,200
24-519656,cat1,"kantoorgebouw burelen",81,113400,1400
24-519656,other,"burelen",81,113400,1400
24-520212,other,"Berekening Ijzerlaan 2 Showroom/burel en",500,775000,1550
24-520212,cat2,"en Werkplaats",870,696000,800
24-520212,other,"Gasthuisstraat 12 bus 1 Showroom/bure el",370,444000,1200
24-520212,cat2,"el Opslagruimte",150,90000,600
24-520243,cat1,"Berekening Gebouw 1 Winkelruimte",795,993750,1250
24-520243,cat2,"Opslagruimte",355,230750,650
24-521084,cat2,"Berekening Gebouw 1 Kelder",55,49500,900
24-521084,other,"Afdak",80,16000,200
24-521084,other,"Loods",550,412500,750
24-521084,cat1,"Woning",180,360000,2000
24-521084,other,"Aangebouwde serre ( veranda)",125,137500,1100
24-521084,cat1,"serre ( veranda) Woning",80,160000,2000
24-521344,other,"Berekening Gebouw loods",1250,937500,750
24-521344,other,"houten tussenvloer met",30,13500,450
24-521344,other,"metalen trap kantoren (gecompartimen",206,360500,1750
24-521426,cat1,"Berekening appartementsgebouw appartementen",381,744474,1954
24-521426,other,"Doorgang naar achtergelegen",46,23920,520
24-521426,cat1,"terrein appartementen",406,793324,1954
24-521426,cat1,"appartementen (duplex)",333,650682,1954
24-521426,cat1,"(duplex) appartementen",160,312640,1954
24-521426,cat2,"garageboxen",306,131580,430
24-522020,cat2,"Berekening Woning met leegstaande winkel kelder",128,128000,1000
24-522020,cat1,"woning",206,432600,2100
24-522020,cat1,"leegstaande winkelruimte",148,222000,1500
24-522020,cat1,"Werkruimte met loods werkruimte en kantoor",165,198000,1200
24-522020,cat1,"kantoor loods",166,141100,850
24-522052,cat2,"Berekening Opbrengsteigendom kelderruimte",207,196650,950
24-522052,cat1,"restaurant",207,331200,1600
24-522052,other,"entree, traphal naar",10,18000,1800
24-522052,cat1,"verdiepingen appartement",83,207500,2500
24-522052,cat3,"dakterras",26,8840,340
24-522052,cat1,"studentenkamer s, badkamer,",64,160000,2500
24-522052,cat1,"toilet dakappartement",64,160000,2500
24-522078,cat1,"Berekening praktijkruimte praktijk, ontvangst, behandelruimte",185,231250,1250
24-522078,cat1,"behandelruimte , zwembad schuur met behandelruimte",45,55125,1225
24-522078,cat2,", opslagruimte B&amp;B inrichting",120,168000,1400
24-522078,cat2,"(bergiruimte) tecbnieken + garage",44,41800,950
24-522078,cat2,"garage binnenpiste, box, paardenboxen,",641,397420,620
24-522078,cat1,"Berekening praktijkruimte praktijk, ontvangst, behandelruimte,",185,231250,1250
24-522078,cat1,"behandelruimte, zwembad schuur met behandelruimte,",45,55125,1225
24-522078,cat2,"opslagruimte B&amp;B inrichting",120,168000,1400
24-522131,other,"Berekening Ververij 8 -10 Loodsen",2260,1048640,464
24-522131,cat1,"woonruimte bureau ruimte",171.78,257670,1500
24-522131,cat1,"bureau ruimte slaapkamers, badkamers",81.06,121590,1500
24-522155,cat2,"Berekening paardenstalling met binnenpist binnenpiste",1088,559232,514
24-522155,cat2,"stalling met verblijfsruimte, zadelruimte,",350,254100,726
24-522155,other,"zadelruimte, boxen aangebouwde overkappingen,",120,51000,425
24-522268,cat2,"Berekening Gebouw 1 Garage",168,336000,2000
24-522268,cat2,"Kelder",597,1492500,2500
24-522268,cat1,"Woning",317,1680100,5300
24-522268,cat1,"Woning",212,1123600,5300
24-522268,other,"Poolhouse",254.32,1017280,4000
24-522268,other,"Poolhouse",132.4,397188,3000
24-522268,other,"Schuur",168,537600,3200
24-522268,other,"Schuur",31.03,93076.2,3000
24-522273,cat1,"Berekening A kantoren en leegstaande woning (gecompartimenteerd) kantoren",118,230100,1950
24-522273,cat2,"kelder woning",72,68400,950
24-522273,cat1,"woning",169,338000,2000
24-522273,other,"(gecompartimenteerd) B loodsen loodsen",3608,3120920,865
24-522273,other,"kantoren",53,53000,1000
24-522273,other,"afdak afdak",1264,568800,450
24-522273,other,"B loodsen loodsen",3608,3120920,865
24-522319,cat1,"Berekening appartement gelegen op geljkvloers in burgerwoning appartement gelegen op",152,319200,2100
24-522319,cat2,"gelijkvloers privatieve berging nivo",20,19000,950
24-522405,cat1,"Berekening Bedrijfsloods Loods, kantoor, personeelsruimt",2322,1648620,710
24-522424,other,"Berekening Gebouw loods",1260,850500,675
24-522424,cat1,"kantoor in ruwbouw",160,128000,800
24-522424,cat1,"ruwbouw kantoor in ruwbouw",160,128000,800
24-522430,cat1,"Berekening Gebouw 1 Woning",135,310500,2300
24-522430,cat1,"woning",135,297000,2200
24-522430,cat2,"Kelder",7,6300,900
24-522430,cat3,"Overdekt terras",15,12000,800
24-522431,other,"Berekening Gebouw 1 Gelijkvloers",100,240000,2400
24-522431,other,"verdieping",65,117000,1800
24-522431,other,"Poolhouse",22,19800,900
24-522464,other,"Berekening Bedrijfsloods Loods",2345,1702470,726
24-522508,cat2,"Berekening A schoenwinkel kelder",855,769500,900
24-522508,cat1,"meerprijs kantoor in",20,13000,650
24-522508,cat2,"kelder winkelruimte",1122,1430550,1275
24-522508,other,"B binnenzwembad zwembadruimte",160,224000,1400
24-522508,other,"C loodsen loodsen",425,446250,1050
24-522508,other,"afdaken m² en 12 m²",44,22000,500
24-522510,cat2,"Berekening Loods, magazijn magazijn",222,188700,850
24-522510,cat1,"woning leefruimtes",138,241500,1750
24-522510,cat1,"leefruimtes slaapkamers, badkamer",138,241500,1750
24-522511,cat2,"Berekening Bedrijfsloods, magazijn loods",770,554400,720
24-522534,cat1,"Berekening Gebouw handelsruimtes",498,846600,1700
24-522534,cat3,"terras",25,11250,450
24-522534,cat1,"appartementen",445,890000,2000
24-522534,cat3,"terrassen",52,46800,900
24-522534,cat3,"terrassen",37,33300,900
24-522534,cat1,"appartementen",387,774000,2000
24-522534,cat3,"terrassen",44.5,40050,900
24-522538,cat2,"Berekening FREDERICKXHOF kelders en parking",1700,1870000,1100
24-522538,cat2,"parking meerprijs keuken in",50,37500,750
24-522538,cat2,"kelder woonzorgcentr um",2038,4993100,2450
24-522538,cat3,"um terras",12,6000,500
24-522538,cat1,"woonzorgcentr um",1988,4870600,2450
24-522538,cat3,"um terrassen",62,58900,950
24-522538,cat1,"woonzorgcentr um",1432,3508400,2450
24-522538,cat3,"um terrassen",182,172900,950
24-522538,cat1,"woonzorgcentr um",1311,3211950,2450
24-522538,cat3,"um terrassen",172,163400,950
24-522538,cat1,"woonzorgcentr um",435,1065750,2450
24-522538,cat3,"um terrassen",50,47500,950
24-522538,cat2,"parking meerprijs keuken in kelder",50,37500,750
24-522538,cat2,"keuken in kelder woonzorgcentru m",2038,4993100,2450
24-522538,cat3,"m terras",12,6000,500
24-522538,cat1,"woonzorgcentru m",1988,4870600,2450
24-522538,cat3,"m terrassen",62,58900,950
24-522538,cat1,"woonzorgcentru m",1432,3508400,2450
24-522538,cat3,"m terrassen",182,172900,950
24-522538,cat1,"woonzorgcentru m",1311,3211950,2450
24-522538,cat3,"m terrassen",172,163400,950
24-522538,cat1,"woonzorgcentru m",435,1065750,2450
24-522538,cat3,"m terrassen",50,47500,950
24-522783,cat1,"Berekening Burgerwoning Sous Terrein",60,61200,1020
24-522783,cat1,"leefruimtes",60,225000,3750
24-522783,cat1,"aangebouwde keuken",33,72600,2200
24-522783,cat1,"keuken veranda",4,8000,2000
24-522783,cat1,"slaapkamers, badkamer",93,251100,2700
24-522783,cat1,"badkamer slaapkamers",60,162000,2700
24-522783,cat2,"zolder",60,72000,1200
24-522787,cat1,"Berekening Gebouw toonzaal en kantoren",100,200000,2000
24-522787,other,"kantoren kantoren",87,165300,1900
24-522787,cat3,"terras",8,5200,650
24-522787,other,"loods",220,165000,750
24-522787,other,"meerprijs kantoren in",65,71500,1100
24-522787,other,"loods meerprijs kantoren in",75,82500,1100
24-522787,other,"loods houten tussenvloer in",34,19210,565
24-522845,cat2,"Berekening Bakkerij met winkel en bovenwoning kelder",140,105000,750
24-522845,cat1,"Bakkerij winkel met atelier",228,273600,1200
24-522845,other,"met atelier aanbouw bergruimte, uitbreiding bakkerij, onder/achter",62,55800,900
24-522845,cat1,"onder/achter naastgelegen appartementsge bouw (casco) Appartement",140,245000,1750
24-522918,cat1,"Berekening Handelsgelijkvloers gelijkvloerse handelsruimte,",948,1090200,1150
24-522920,cat2,"Berekening loods met werkplaats van garagebedrijf werkplaats",468,336960,720
