ref,dossier_id,plan_storage_path,expert_f,cat1,cat2,cat3
25-544494,94c57bf9-2d4b-4d2f-b0f8-f7e6545acb05,00000000-0000-0000-0000-000000000001/94c57bf9-2d4b-4d2f-b0f8-f7e6545acb05/plan-25-544494_Plannen.pdf,0.775,1043,0,0
25-528969,6e715d40-ec1e-486f-a147-9fc138cd51bb,00000000-0000-0000-0000-000000000001/6e715d40-ec1e-486f-a147-9fc138cd51bb/plan-25-528969_Plannen.pdf,0.773,250,0,21
25-531989,e96e2ba9-f690-4403-a9f4-9ff01a524322,00000000-0000-0000-0000-000000000001/e96e2ba9-f690-4403-a9f4-9ff01a524322/plan-25-531989_Plannen.pdf,0.700,600,0,0
26-550244,8f3bb429-5adf-46e5-a150-667a5f039ee9,00000000-0000-0000-0000-000000000001/8f3bb429-5adf-46e5-a150-667a5f039ee9/plan-26-550244_Plannen.pdf,0.700,2050,400,0
24-521426,deee4149-a708-47c9-bd1f-7ccbba58dee7,00000000-0000-0000-0000-000000000001/deee4149-a708-47c9-bd1f-7ccbba58dee7/plan-24-521426_Plannen.pdf,0.834,1280,306,0
25-532411,da5b7537-976b-4306-9677-f65ef531f84c,00000000-0000-0000-0000-000000000001/da5b7537-976b-4306-9677-f65ef531f84c/plan-25-532411_Plannen.pdf,0.832,451,127,0
25-527232,6087511b-9d17-407b-9635-ba676b2ed54a,00000000-0000-0000-0000-000000000001/6087511b-9d17-407b-9635-ba676b2ed54a/plan-25-527232_Plannen.pdf,0.896,658,293,0
25-545569,9df93b70-626f-4bda-9a09-db09e8493a7e,00000000-0000-0000-0000-000000000001/9df93b70-626f-4bda-9a09-db09e8493a7e/plan-25-545569_Plannen.pdf,0.840,183,817,28
25-528988,08058c44-38ee-46ab-848a-5f49cd85154c,00000000-0000-0000-0000-000000000001/08058c44-38ee-46ab-848a-5f49cd85154c/plan-25-528988_Plannen.pdf,0.826,1228,0,70
24-522052,cfc7ae5c-8fac-4e79-b9b1-84d4464a9783,00000000-0000-0000-0000-000000000001/cfc7ae5c-8fac-4e79-b9b1-84d4464a9783/plan-24-522052_Plannen.pdf,0.931,418,207,26
25-527642,e5fb69b9-075c-4e94-95ad-ebd16969ae9c,00000000-0000-0000-0000-000000000001/e5fb69b9-075c-4e94-95ad-ebd16969ae9c/plan-25-527642_Plannen.pdf,0.905,612,270,0
25-535978,27216929-a6c3-401a-91da-36533cbe8720,00000000-0000-0000-0000-000000000001/27216929-a6c3-401a-91da-36533cbe8720/plan-25-535978_Plannen.pdf,0.810,430,651,0
24-522534,98ad6e08-33a3-404f-bb08-f230110a4671,00000000-0000-0000-0000-000000000001/98ad6e08-33a3-404f-bb08-f230110a4671/plan-24-522534_Plannen.pdf,0.894,1330,0,159
