ref,dossier_id,estimation_id,expert_f
25-544494,94c57bf9-2d4b-4d2f-b0f8-f7e6545acb05,693896f5-a562-4209-a46e-c5632bcc8b63,0.775
25-528969,6e715d40-ec1e-486f-a147-9fc138cd51bb,31b6756f-719c-4a38-b9f8-d3e3c8a36d65,0.773
25-531989,e96e2ba9-f690-4403-a9f4-9ff01a524322,af83786f-fce1-4f30-8da4-c1d2f0b6dc38,0.700
26-550244,8f3bb429-5adf-46e5-a150-667a5f039ee9,71db8dc9-729d-4016-abe7-b0ee6bc55a97,0.700
24-521426,deee4149-a708-47c9-bd1f-7ccbba58dee7,d398401c-d576-45e5-8280-759896a69764,0.834
25-532411,da5b7537-976b-4306-9677-f65ef531f84c,3c1fc4e9-5f07-4a7b-a953-c9d2e01815cc,0.832
25-527232,6087511b-9d17-407b-9635-ba676b2ed54a,d6442cb0-95fc-4739-8c58-b50ad265a19f,0.896
25-545569,9df93b70-626f-4bda-9a09-db09e8493a7e,e6e6b3fc-f15b-43c9-ab1a-4148303b4fc6,0.840
25-528988,08058c44-38ee-46ab-848a-5f49cd85154c,dc42b620-9d7b-41af-9b9c-43a1d02fe91e,0.826
24-522052,cfc7ae5c-8fac-4e79-b9b1-84d4464a9783,fdd564e0-1190-47aa-a350-ba390f264a33,0.931
25-527642,e5fb69b9-075c-4e94-95ad-ebd16969ae9c,4aedfbb6-875a-4bb9-893d-06a08b3f79eb,0.905
25-535978,27216929-a6c3-401a-91da-36533cbe8720,19df0e6f-e3f0-4af2-b7b8-602f42779757,0.810
24-522534,98ad6e08-33a3-404f-bb08-f230110a4671,281fd9a5-384e-40ff-b2c2-a2be8b2a1c6c,0.894
24-524484,86d0b6d1-5897-495f-8acd-2bdb3da0947e,f6ec8afc-71bc-477e-8fc6-d2f75f3c9aa5,1.017
25-545328,6435b5be-29dc-4602-9b9f-38858e7a8ff2,3842dd53-f13a-4de2-b95c-d4b509e4668e,0.953
25-535457,831d68d0-f859-4a92-9e60-d3bb5ac71e7c,fe499afa-0a9e-4d49-9106-2d430f791e46,0.966
25-547281,76562a1e-f880-41b4-8489-2923470073e4,18f7bb35-a896-4059-a1ea-007b7db4090e,1.016
25-539008,b051200a-a0b0-4edb-8e42-e52795517062,f65bc671-ada6-4397-9991-da176fe6bcaf,1.068
25-534955,c68f3711-249a-4ed9-b02f-888df51c1d20,b35de584-a0fd-4668-a955-d9f3e0148f83,1.066
25-533575,cbc0111d-a52f-4109-a61a-9778217946a8,21c11432-168e-4749-b961-5a3b2a0485bc,0.966
25-545388,3ec553e5-2358-4d0f-8a6c-1813edc56af9,13814455-0a96-4d6b-a108-f883c38560c7,1.072
24-524260,fc250138-6be3-407a-95eb-9cfd5c8b18a8,29e9e047-2d31-4162-b989-c6f4cc887351,0.974
26-550380,b80c50d0-4ce9-4c4d-afe8-c2e2175340d4,5bb4d03e-42b0-43ba-96fd-15b55aa14835,1.187
25-533859,9aae70a2-915b-4554-b65f-130108da9c20,2c1f3677-209e-4318-bdee-2638f862b366,1.125
25-534038,4a6758bf-23da-4914-88b6-d4d6a7f11433,a47ecb34-bf72-4b29-b169-1f01c0fcdf40,1.141
26-548923,e0de50dd-a957-4ad8-ac78-df5db7e803cd,057c8343-006f-4671-ac48-d27b384e05ad,1.199
25-534034,5fe455bc-760e-4c4a-9155-3c2769c0e6f6,af1dbe20-0f93-4526-acc4-d2fb96bc736c,1.164
25-531984,72116b8e-2e67-4a69-ae97-341b7e89de64,218c7c09-a828-49e2-aee4-bcc4ef3007c4,1.127
25-545714,62918b3d-f984-4479-a2a8-5b5856049b53,084d5ded-830d-4933-b8cf-f6f74fd47fe1,1.254
25-544992,bb9f8a28-d494-4de0-8bd9-411fcbce8dca,3672d977-6c70-48d6-ba2d-5bc2fb3a4e25,1.124
25-545571,f1108549-3ca1-4da5-aabf-d3a1ff504879,bc6ec7ad-69fe-4441-a77c-04413b00c27e,1.194
25-540041,c233101a-21ef-40b2-a95a-8072b848255f,db5a6b9d-9095-4dd8-b4db-f07ad4b6c5f1,1.500
25-528005,cba38cd6-0ccc-49e3-84c2-5978a253a47d,9be4e742-4ee4-499f-8c82-6957ba2e7a2e,1.500
25-529067,314edc86-f6f4-4e0b-a293-0733fbafa0f6,47392caa-ed29-4bc7-8ccc-620b83ff3e1b,1.336
26-552710,b71e11ae-dcd6-4b50-918a-9d5ef30a88f2,d17a50e5-af17-4695-933f-56cfdf7d0bb9,1.500
25-546442,fed4f988-7deb-47d3-8c41-7880b36492d9,703b3240-0727-4ef1-a782-24d1b07e25a7,1.500
25-528000,2d7af1b7-3d8a-4ecc-ae0c-3a1ff9a3bcc1,d77f6b8d-d22c-4ef2-a9f7-2ef89f429e36,1.500
25-528157,f1bde0c2-f7e5-4cd1-ac6b-582c36027205,3ecc2a83-dd78-448d-b917-05b0c201ab3f,1.483
25-526513,005729c0-c59b-436b-82dc-672e988ee9a8,e53b1f75-3fa7-4b23-9b01-6ec3ae151e27,1.500
