ref,expert_f,cat1_m2,cat2_m2,cat3_m2,building_cost,plan_mb
25-527234,0.700,1184,155,0,1958700,143.7
25-544494,0.775,1043,0,0,1796046,41.5
25-532312,0.727,0,215,83,240677,37.6
25-545505,0.700,0,317,0,285300,24.4
25-528969,0.773,250,0,21,440753,16.8
25-535099,0.700,0,475,0,285000,15.7
25-544390,0.700,20,115,0,126600,13.1
25-531989,0.700,600,0,0,720000,10.7
26-550244,0.700,2050,400,0,2840900,8.5
25-531244,0.700,0,795,22,655830,8.2
24-521426,0.834,1280,306,0,2632700,34.3
25-532411,0.832,451,127,0,945145,13.8
25-527232,0.896,658,293,0,1568824,7.6
25-545569,0.840,183,817,28,1171653,6.4
25-528988,0.826,1228,0,70,2255782,6.0
24-522052,0.931,418,207,26,1064190,5.9
25-527642,0.905,612,270,0,1467529,4.1
25-535978,0.810,430,651,0,1404650,3.6
25-535669,0.892,0,347,60,398000,3.0
24-522534,0.894,1330,0,159,2642000,2.8
25-539163,0.990,110,252,21,522950,233.6
24-524484,1.017,2444,3578,708,9705720,31.4
25-545328,0.953,375,90,0,851925,21.2
25-535457,0.966,2363,1183,136,6187831,13.0
25-547281,1.016,805,40,40,1773051,8.4
25-539008,1.068,1553,845,516,4761309,8.2
25-534955,1.066,614,1434,847,3611320,7.7
25-533575,0.966,546,382,5,1531938,4.4
25-545388,1.072,229,74,21,606953,4.3
24-524260,0.974,106,200,0,437081,3.4
26-550380,1.187,974,90,140,2548000,29.5
25-533859,1.125,180,47,0,469800,24.1
25-534038,1.141,482,102,0,1241900,21.7
26-548923,1.199,697,526,0,2348966,20.2
25-534034,1.164,177,55,0,485400,15.2
25-531984,1.127,301,154,93,944640,13.6
25-545714,1.254,249,354,29,1110650,11.9
25-544992,1.124,249,881,191,1778395,6.8
25-526560,1.109,0,293,0,354200,5.9
25-545571,1.194,248,143,0,777500,5.0
25-540041,1.500,629,1446,0,4352600,40.3
25-528005,1.500,184,46,18,944463,33.2
25-529067,1.336,532,534,70,2192652,26.5
26-552710,1.500,519,763,147,2986306,19.5
25-545313,1.500,74,352,76,1599848,17.0
25-546442,1.500,302,471,0,1613647,16.0
25-528000,1.500,342,318,0,1958100,15.6
25-534011,1.500,78,53,0,345840,15.2
25-528157,1.483,204,477,35,1326875,14.7
25-526513,1.500,396,933,0,2857000,11.5
